ngram,score
安全,8.337221320522334
国家安全,6.951863727620829
国家安,6.951863727620829
家安全,6.951863727620829
家安,6.951863727620829
安全、,6.664597715087678
维护,6.664597715087678
全、,6.664597715087678
全和,6.664597715087678
安全和,6.664597715087678
安全为,6.482608881637335
全为,6.482608881637335
安全，,6.259964207859039
全，,6.259964207859039
、以,6.259964207859039
安全能,5.9731130453013455
统筹,5.9731130453013455
安全能力,5.9731130453013455
维护国,5.9731130453013455
维护国家,5.9731130453013455
全能力,5.9731130453013455
保障,5.9731130453013455
全能,5.9731130453013455
护国,5.9731130453013455
护国家,5.9731130453013455
全和社会稳,5.569307688611546
，加强,5.569307688611546
传统,5.569307688611546
传统安全,5.569307688611546
，维,5.569307688611546
基础,5.569307688611546
社会稳,5.569307688611546
防范,5.569307688611546
全，加,5.569307688611546
稳定,5.569307688611546
民安,5.569307688611546
部安全,5.569307688611546
国家安全和,5.569307688611546
护国家安全,5.569307688611546
，坚,5.569307688611546
维护国家安,5.569307688611546
力，,5.569307688611546
部安,5.569307688611546
，维护,5.569307688611546
现代,5.569307688611546
家安全和,5.569307688611546
，严,5.569307688611546
传统安,5.569307688611546
和社会,5.569307688611546
代化,5.569307688611546
