slogan,entropy
中国共产,2.516167488743571
国共产党,2.516167488743571
中国共产党,2.516167488743571
社会主义,2.7704775074161394
中国特色,2.7276996497248525
国特色社,2.4705429871954263
特色社会,2.4705429871954263
色社会主,2.4705429871954263
中国特色社,2.4705429871954263
国特色社会,2.4705429871954263
特色社会主,2.4705429871954263
色社会主义,2.4705429871954263
中国特色社会,2.4705429871954263
国特色社会主,2.4705429871954263
特色社会主义,2.4705429871954263
中国特色社会主,2.4705429871954263
国特色社会主义,2.4705429871954263
中国特色社会主义,2.4705429871954263
中华民族,2.4990649028402836
全面建设,2.520866908830473
会主义现,2.645346330068013
主义现代,2.645346330068013
义现代化,2.645346330068013
社会主义现,2.645346330068013
会主义现代,2.645346330068013
主义现代化,2.645346330068013
社会主义现代,2.645346330068013
会主义现代化,2.645346330068013
社会主义现代化,2.645346330068013
马克思主,1.3653722558066261
克思主义,1.3653722558066261
马克思主义,1.3653722558066261
建设社会,2.334549109200566
设社会主,2.334549109200566
建设社会主,2.334549109200566
设社会主义,2.334549109200566
建设社会主义,2.334549109200566
面建设社,2.3457374038498124
现代化国,2.3457374038498124
代化国家,2.3457374038498124
全面建设社,2.3457374038498124
面建设社会,2.3457374038498124
义现代化国,2.3457374038498124
现代化国家,2.3457374038498124
全面建设社会,2.3457374038498124
面建设社会主,2.3457374038498124
设社会主义现,2.3457374038498124
主义现代化国,2.3457374038498124
义现代化国家,2.3457374038498124
国家安全,1.5403058252205166
