slogan,frequency
社会主义,142
中国特色,72
国特色社,61
特色社会,61
色社会主,61
中国特色社,61
国特色社会,61
特色社会主,61
色社会主义,61
中国特色社会,61
国特色社会主,61
特色社会主义,61
中国特色社会主,61
国特色社会主义,61
中国特色社会主义,61
中国共产,37
国共产党,37
中国共产党,37
会主义现,36
主义现代,36
义现代化,36
社会主义现,36
会主义现代,36
主义现代化,36
社会主义现代,36
会主义现代化,36
社会主义现代化,36
马克思主,32
克思主义,32
马克思主义,32
国家安全,29
中华民族,28
全面建设,25
建设社会,23
设社会主,23
建设社会主,23
设社会主义,23
建设社会主义,23
面建设社,21
现代化国,21
代化国家,21
全面建设社,21
面建设社会,21
义现代化国,21
现代化国家,21
全面建设社会,21
面建设社会主,21
设社会主义现,21
主义现代化国,21
义现代化国家,21
全面建设社会主,21
面建设社会主义,21
建设社会主义现,21
设社会主义现代,21
会主义现代化国,21
主义现代化国家,21
全面建设社会主义,21
面建设社会主义现,21
建设社会主义现代,21
设社会主义现代化,21
社会主义现代化国,21
会主义现代化国家,21
全面建设社会主义现,21
面建设社会主义现代,21
建设社会主义现代化,21
设社会主义现代化国,21
社会主义现代化国家,21
全面建设社会主义现代,21
面建设社会主义现代化,21
建设社会主义现代化国,21
设社会主义现代化国家,21
科学发展,20
改革开放,19
现代化建,18
代化建设,18
现代化建设,18
加快建设,18
伟大复兴,17
党和国家,17
党的建设,16
华民族伟,16
民族伟大,16
族伟大复,16
中华民族伟,16
华民族伟大,16
民族伟大复,16
族伟大复兴,16
中华民族伟大,16
华民族伟大复,16
民族伟大复兴,16
中华民族伟大复,16
华民族伟大复兴,16
中华民族伟大复兴,16
全面推进,16
学发展观,15
科学发展观,15
维护国家,14
我们坚持,14
坚定不移,13
全国各族,13
国各族人,13
各族人民,13
全国各族人,13
国各族人民,13
全国各族人民,13
中国人民,13
高质量发,13
质量发展,13
高质量发展,13
代表大会,12
全面加强,12
人民民主,12
深入推进,12
小康社会,11
体制改革,11
社会保障,11
会主义法,11
社会主义法,11
能力建设,11
我国发展,11
特别行政,11
别行政区,11
特别行政区,11
发展中国,11
治理体系,11
党的领导,11
新时代党,11
中国式现,11
国式现代,11
式现代化,11
中国式现代,11
国式现代化,11
中国式现代化,11
全面建成,10
国防和军,10
防和军队,10
国防和军队,10
一国两制,10
保障体系,10
体制机制,10
百年奋斗,10
新时代中,10
时代中国,10
代中国特,10
新时代中国,10
时代中国特,10
代中国特色,10
新时代中国特,10
时代中国特色,10
代中国特色社,10
新时代中国特色,10
时代中国特色社,10
代中国特色社会,10
新时代中国特色社,10
时代中国特色社会,10
代中国特色社会主,10
新时代中国特色社会,10
时代中国特色社会主,10
代中国特色社会主义,10
新时代中国特色社会主,10
时代中国特色社会主义,10
意识形态,10
实现中华,10
现中华民,10
实现中华民,10
现中华民族,10
实现中华民族,10
人民军队,10
必须坚持,10
共产党第,9
次全国代,9
全国代表,9
国代表大,9
国共产党第,9
次全国代表,9
全国代表大,9
国代表大会,9
中国共产党第,9
次全国代表大,9
全国代表大会,9
次全国代表大会,9
发展道路,9
党和人民,9
取得重大,9
主义法治,9
会主义法治,9
社会主义法治,9
团结奋斗,9
坚持和发,9
持和发展,9
坚持和发展,9
全面发展,9
主义思想,9
统一领导,9
发展格局,9
全过程人,9
过程人民,9
程人民民,9
全过程人民,9
过程人民民,9
程人民民主,9
全过程人民民,9
过程人民民主,9
全过程人民民主,9
依法治国,9
制度体系,9
现中华民族伟,9
实现中华民族伟,9
现中华民族伟大,9
实现中华民族伟大,9
现中华民族伟大复,9
实现中华民族伟大复,9
现中华民族伟大复兴,9
实现中华民族伟大复兴,9
人民群众,9
和平与发,8
平与发展,8
和平与发展,8
基础设施,8
会主义核,8
主义核心,8
义核心价,8
核心价值,8
体系建设,8
社会主义核,8
会主义核心,8
主义核心价,8
义核心价值,8
社会主义核心,8
会主义核心价,8
主义核心价值,8
社会主义核心价,8
会主义核心价值,8
社会主义核心价值,8
公共服务,8
世界和平,8
生态环境,8
全面贯彻,8
社会发展,8
会主义的,8
社会主义的,8
全体人民,8
会主义思,8
社会主义思,8
会主义思想,8
色社会主义思,8
社会主义思想,8
特色社会主义思,8
色社会主义思想,8
国特色社会主义思,8
特色社会主义思想,8
中国特色社会主义思,8
国特色社会主义思想,8
代中国特色社会主义思,8
中国特色社会主义思想,8
和国家事,8
国家事业,8
党和国家事,8
和国家事业,8
党和国家事业,8
推动构建,8
时代党的,8
新时代党的,8
共同富裕,8
社会治理,8
全面从严,8
面从严治,8
从严治党,8
全面从严治,8
面从严治党,8
全面从严治党,8
的社会主,8
的社会主义,8
面建成小,7
建成小康,7
成小康社,7
全面建成小,7
面建成小康,7
建成小康社,7
成小康社会,7
全面建成小康,7
面建成小康社,7
建成小康社会,7
全面建成小康社,7
面建成小康社会,7
全面建成小康社会,7
改善民生,7
为全面建,7
人民生活,7
义现代化建,7
主义现代化建,7
义现代化建设,7
会主义现代化建,7
主义现代化建设,7
社会主义现代化建,7
会主义现代化建设,7
社会主义现代化建设,7
改革发展,7
加强和改,7
强和改进,7
